--- RELATÓRIO AGUAFLOW - VIVERE PRUDENTE ---
Gerado em: 06/04/2026 09:40

UNIDADE         | TIPO       | VALOR     
---------------------------------------------
Apto 1          | ÁGUA       | 123.45    
Apto 2          | ÁGUA       | 123.45    
Apto 3          | ÁGUA       | 123.45    
Apto 4          | ÁGUA       | 123.45    
Apto 5          | ÁGUA       | 123.45    
Apto 6          | ÁGUA       | 123.45    
Apto 7          | ÁGUA       | 123.45    
Apto 8          | ÁGUA       | 123.45    
Apto 9          | ÁGUA       | 123.45    
Apto 10         | ÁGUA       | 123.45    
Apto 11         | ÁGUA       | 123.45    
Apto 12         | ÁGUA       | 123.45    
Apto 13         | ÁGUA       | 123.45    
Apto 14         | ÁGUA       | 123.45    
Apto 15         | ÁGUA       | 123.45    
Apto 16         | ÁGUA       | 123.45    
Apto 17         | ÁGUA       | 123.45    
Apto 18         | ÁGUA       | 123.45    
Apto 19         | ÁGUA       | 123.45    
Apto 20         | ÁGUA       | 123.45    
Apto 21         | ÁGUA       | 123.45    
Apto 22         | ÁGUA       | 123.45    
Apto 23         | ÁGUA       | 123.45    
Apto 24         | ÁGUA       | 123.45    
Apto 25         | ÁGUA       | 123.45    
Apto 26         | ÁGUA       | 123.45    
Apto 27         | ÁGUA       | 123.45    
Apto 28         | ÁGUA       | 123.45    
Apto 29         | ÁGUA       | 123.45    
Apto 30         | ÁGUA       | 123.45    
Apto 31         | ÁGUA       | 123.45    
Apto 32         | ÁGUA       | 123.45    
Apto 33         | ÁGUA       | 123.45    
Apto 34         | ÁGUA       | 123.45    
Apto 35         | ÁGUA       | 123.45    
Apto 36         | ÁGUA       | 123.45    
Apto 37         | ÁGUA       | 123.45    
Apto 38         | ÁGUA       | 123.45    
Apto 39         | ÁGUA       | 123.45    
Apto 40         | ÁGUA       | 123.45    
Apto 41         | ÁGUA       | 123.45    
Apto 42         | ÁGUA       | 123.45    
Apto 43         | ÁGUA       | 123.45    
Apto 44         | ÁGUA       | 123.45    
Apto 45         | ÁGUA       | 123.45    
Apto 46         | ÁGUA       | 123.45    
Apto 47         | ÁGUA       | 123.45    
Apto 48         | ÁGUA       | 123.45    
Apto 49         | ÁGUA       | 123.45    
Apto 50         | ÁGUA       | 123.45    
Apto 51         | ÁGUA       | 123.45    
Apto 52         | ÁGUA       | 123.45    
Apto 53         | ÁGUA       | 123.45    
Apto 54         | ÁGUA       | 123.45    
Apto 55         | ÁGUA       | 123.45    
Apto 56         | ÁGUA       | 123.45    
Apto 57         | ÁGUA       | 123.45    
Apto 58         | ÁGUA       | 123.45    
Apto 59         | ÁGUA       | 123.45    
Apto 60         | ÁGUA       | 123.45    
Apto 61         | ÁGUA       | 123.45    
Apto 62         | ÁGUA       | 123.45    
Apto 63         | ÁGUA       | 123.45    
Apto 64         | ÁGUA       | 123.45    
Apto 65         | ÁGUA       | 123.45    
Apto 66         | ÁGUA       | 123.45    
Apto 67         | ÁGUA       | 123.45    
Apto 68         | ÁGUA       | 123.45    
Apto 69         | ÁGUA       | 123.45    
Apto 70         | ÁGUA       | 123.45    
Apto 71         | ÁGUA       | 123.45    
Apto 72         | ÁGUA       | 123.45    
Apto 73         | ÁGUA       | 123.45    
Apto 74         | ÁGUA       | 123.45    
Apto 75         | ÁGUA       | 123.45    
Apto 76         | ÁGUA       | 123.45    
Apto 77         | ÁGUA       | 123.45    
Apto 78         | ÁGUA       | 123.45    
Apto 79         | ÁGUA       | 123.45    
Apto 80         | ÁGUA       | 123.45    
Apto 81         | ÁGUA       | 123.45    
Apto 82         | ÁGUA       | 123.45    
Apto 83         | ÁGUA       | 123.45    
Apto 84         | ÁGUA       | 123.45    
Apto 85         | ÁGUA       | 123.45    
Apto 86         | ÁGUA       | 123.45    
Apto 87         | ÁGUA       | 123.45    
Apto 88         | ÁGUA       | 123.45    
Apto 89         | ÁGUA       | 123.45    
Apto 90         | ÁGUA       | 123.45    
Apto 91         | ÁGUA       | 123.45    
Apto 92         | ÁGUA       | 123.45    
Apto 93         | ÁGUA       | 123.45    
Apto 94         | ÁGUA       | 123.45    
Apto 95         | ÁGUA       | 123.45    
Apto 96         | ÁGUA       | 123.45    
Lazer Gás       | GÁS        | 123.45    
Geral Água      | ÁGUA       | 123.45    
Apto 166        | Água       | 452.1     
